actif_passif,aller-vers_éviter-de,global_specific,ref_externe_interne,similitude_difference,match_mismatch,text
1,0,0,0,0,0,Que s'est-il passé précisément ?
-2,0,0,0,0,0,Qu'est-ce que le fait d'être aussi actif dans cette situation vous apporte ?
2,0,0,0,0,0,Comment réagissez-vous à cette situation ?
2,0,0,0,0,0,Quel effet à cette situation sur vous ?
0,1,0,0,0,0,Qu'as-tu ressenti ?
1,1,0,0,0,0,Qu'est-ce qui t'as poussé à faire ça ?
0,0,0,0,0,0,Quel est ton travail ?
0,0,0,0,0,0,Qu'est-ce que tu aimes dans ton travail ?
0,0,0,0,0,0,Quel est selon vu le but dans votre vie ?
0,0,0,0,0,0,Que fais-tu pour te détendre ?
0,0,0,0,0,0,Est-ce que quelquechose te dérange chez toi ?
0,0,0,-2,0,0,Comment savez-vous ce que la personne pense / la personne veut ?
0,0,0,0,0,0,Est-ce que quelquechose te dérange chez toi ?
